method,layers,alpha,wmdp_accuracy,delta_wmdp,retain_accuracy,delta_retain
Baseline,None,1.0,0.4603299293008641,0.0,0.3333333333333333,0.0
Top-k Localization,"[15, 14]",0.75,0.448546739984289,0.011783189316575,0.3166666666666666,0.0166666666666666
Top-k Localization,"[15, 14]",0.5,0.408483896307934,0.05184603299293,0.3183333333333333,0.0149999999999999
Top-k Localization,"[15, 14]",0.25,0.3652788688138256,0.0950510604870384,0.3016666666666667,0.0316666666666666
Top-k Localization,"[15, 14]",0.0,0.2922230950510605,0.1681068342498036,0.2733333333333333,0.06
WMDP-vs-Retain,"[11, 13]",0.75,0.3912018853102906,0.0691280439905734,0.3216666666666666,0.0116666666666666
WMDP-vs-Retain,"[11, 13]",0.5,0.3299293008641005,0.1304006284367635,0.3,0.0333333333333333
WMDP-vs-Retain,"[11, 13]",0.25,0.3055773762765121,0.1547525530243519,0.2816666666666667,0.0516666666666666
WMDP-vs-Retain,"[11, 13]",0.0,0.3299293008641005,0.1304006284367635,0.31,0.0233333333333333
Random,"[3, 1]",0.75,0.4281225451688923,0.0322073841319717,0.3483333333333333,-0.015
Random,"[3, 1]",0.5,0.3935585231736057,0.0667714061272584,0.33,0.0033333333333332
Random,"[3, 1]",0.25,0.2663000785545954,0.1940298507462686,0.235,0.0983333333333333
Random,"[3, 1]",0.0,0.2356637863315004,0.2246661429693636,0.2416666666666666,0.0916666666666666
Bottom-k,"[0, 2]",0.75,0.4516889238020424,0.0086410054988216,0.3416666666666667,-0.0083333333333333
Bottom-k,"[0, 2]",0.5,0.3605655930871956,0.0997643362136684,0.2916666666666667,0.0416666666666666
Bottom-k,"[0, 2]",0.25,0.2702278083267871,0.1901021209740769,0.2666666666666666,0.0666666666666666
Bottom-k,"[0, 2]",0.0,0.2513747054202671,0.208955223880597,0.2716666666666666,0.0616666666666666
