method,layers,alpha,wmdp_accuracy,delta_wmdp,retain_accuracy,delta_retain
top_wmdp,"[15, 14]",0.75,0.44854673998428907,0.011783189316575016,0.31666666666666665,0.016666666666666663
top_wmdp,"[15, 14]",0.5,0.408483896307934,0.05184603299293006,0.31833333333333336,0.014999999999999958
top_wmdp,"[15, 14]",0.25,0.3652788688138256,0.09505106048703849,0.3016666666666667,0.03166666666666662
top_wmdp,"[15, 14]",0.0,0.2922230950510605,0.1681068342498036,0.2733333333333333,0.06
top_selective,"[11, 13]",0.75,0.39120188531029065,0.06912804399057343,0.32166666666666666,0.011666666666666659
top_selective,"[11, 13]",0.5,0.32992930086410055,0.13040062843676353,0.3,0.033333333333333326
top_selective,"[11, 13]",0.25,0.30557737627651216,0.15475255302435192,0.2816666666666667,0.05166666666666664
top_selective,"[11, 13]",0.0,0.32992930086410055,0.13040062843676353,0.31,0.023333333333333317
random,"[3, 1]",0.75,0.42812254516889237,0.03220738413197172,0.34833333333333333,-0.015000000000000013
random,"[3, 1]",0.5,0.3935585231736057,0.0667714061272584,0.33,0.0033333333333332993
random,"[3, 1]",0.25,0.2663000785545954,0.19402985074626866,0.235,0.09833333333333333
random,"[3, 1]",0.0,0.2356637863315004,0.22466614296936369,0.24166666666666667,0.09166666666666665
bottom_wmdp,"[0, 2]",0.75,0.4516889238020424,0.008641005498821686,0.3416666666666667,-0.00833333333333336
bottom_wmdp,"[0, 2]",0.5,0.3605655930871956,0.09976433621366848,0.2916666666666667,0.04166666666666663
bottom_wmdp,"[0, 2]",0.25,0.2702278083267871,0.19010212097407697,0.26666666666666666,0.06666666666666665
bottom_wmdp,"[0, 2]",0.0,0.2513747054202671,0.208955223880597,0.27166666666666667,0.06166666666666665
