layer,wmdp_score,retain_score,selective_score,wmdp_rank,selective_rank
0,1.807371704389238,1.7638590494791666,0.01218421821135356,16,3
1,7.2476264851728205,7.151207682291667,0.0066962923312262205,3,7
2,2.0862796420856244,2.0459130859375,0.009768797998380943,15,4
3,2.574435081991359,2.5298893229166666,0.008727062673483096,14,6
4,2.897863683228594,2.867998046875,0.005179735085541135,13,8
5,3.099848721032993,3.097197265625,0.0004278579519052682,12,13
6,3.126299526217596,3.1330436197916667,-0.0010774442950289328,11,15
7,3.3066789817360567,3.3241764322916665,-0.0026387923483002862,10,16
8,3.726231097800471,3.7247916666666665,0.00019318571119353027,9,14
9,4.076303822172035,4.068782552083333,0.0009234119484895917,8,11
10,4.1620004418695995,4.14193359375,0.0024165471461306703,7,10
11,4.552478152003142,4.3556119791666665,0.022099705965775436,6,1
12,4.810256898075412,4.724934895833333,0.008948115989350438,5,5
13,6.042091147879026,5.831666666666667,0.017721810089251142,4,2
14,7.8246913049882165,7.7506640625,0.004752844522264399,2,9
15,100.80081500392772,100.63604166666667,0.0008179900142222916,1,12
